restaurant_id,name,num_reviews,latitude,longitude,timezone,location,raw_ranking,ranking_position,ranking_caba,rating,price,price_level,phone,website,email,address,postalcode,image_url,type,url,special_diets,display_hours,traveler_rating_excelente,traveler_rating_muy_bueno,traveler_rating_regular,traveler_rating_malo,traveler_rating_horrible,califications_comida,califications_servicio,califications_calidad_precio,califications_ambiente
10048394,Vive Cafe,357,-34.58184,-58.436085,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.716580390930176,21.0,1.0,5.0,US$ 2 - US$ 9,$,+54 11 4774-5461,http://instagram.com/vivecafe?igshid=NzZlODBkYWE4Ng==,vivecafe@outlook.com,"Costa Rica 5722, Buenos Aires 1414 Argentina",1414,https://media-cdn.tripadvisor.com/media/photo-o/19/2e/37/01/photo2jpg.jpg,"['$', 'Café', 'Colombiana', 'Apto para vegetarianos']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d10048394-Reviews-Vive_Cafe-Buenos_Aires_Capital_Federal_District.html,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","[{'days': 'lun - vie', 'times': ['08:30 - 20:00']}, {'days': 'sáb - dom', 'times': ['09:00 - 20:00']}]",163,38,8,2,2,4.5,4.5,4.5,3.5
2424768,Full City Coffee House,460,-34.588444,-58.431625,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.438331604003906,56.0,2.0,4.5,,$$ - $$$,+54 11 4833-6774,http://www.fullcitycoffeehouse.com,fullcityba@gmail.com,"Thames 1535 Palermo Soho, Buenos Aires Argentina",,,"['$$ - $$$', 'Café', 'Apto para vegetarianos', 'Opciones veganas']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d2424768-Reviews-Full_City_Coffee_House-Buenos_Aires_Capital_Federal_District.html,"Apto para vegetarianos, Opciones veganas","[{'days': 'dom', 'times': ['11:00 - 18:00']}, {'days': 'lun', 'times': ['10:00 - 18:00']}, {'days': 'mar - sáb', 'times': ['09:00 - 20:00']}]",233,72,25,8,3,4.5,4.5,4.5,4.5
1902671,Havanna,1805,-34.601048,-58.37539,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.175300121307373,125.0,8.0,4.5,,$$ - $$$,+54 341 411-0759,http://www.havanna.com.ar,customerserv@havanna.com.ar,"Calle Florida 525, Buenos Aires C1005AAK Argentina",C1005AAK,https://media-cdn.tripadvisor.com/media/photo-o/1b/58/11/7a/photo2jpg.jpg,"['$$ - $$$', 'Postres', 'Café', 'Fuente de soda']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d1902671-Reviews-Havanna-Buenos_Aires_Capital_Federal_District.html,,,422,496,176,17,9,4.0,4.0,3.5,4.0
3676783,El Gato Negro,858,-34.604305,-58.39032,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.092933177947998,157.0,4.0,4.0,,$$ - $$$,+54 11 4374-1730,http://www.elgatonegro.com.ar,,"Av. Corrientes 1669, entre Montevideo y Rodríguez Peña- Microcentro, Buenos Aires C1042AAC Argentina",C1042AAC,https://media-cdn.tripadvisor.com/media/photo-o/17/7d/fa/c3/20190511-115507-largejpg.jpg,"['$$ - $$$', 'Café', 'Internacional', 'Apto para vegetarianos']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d3676783-Reviews-El_Gato_Negro-Buenos_Aires_Capital_Federal_District.html,"Apto para vegetarianos, Opciones sin gluten","[{'days': 'dom', 'times': ['15:00 - 23:00']}, {'days': 'lun', 'times': ['09:00 - 22:00']}, {'days': 'mar', 'times': ['09:00 - 23:00']}, {'days': 'mié - jue', 'times': ['09:00 - 00:00']}, {'days': 'vie - sáb', 'times': ['09:00 - 02:00']}]",263,261,67,24,12,4.0,4.0,4.0,4.5
6563785,Petit Colon,760,-34.60249,-58.383896,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.044234275817871,183.0,5.0,4.0,,$$ - $$$,+54 11 4382-7306,http://petitcolon.com.ar/,info@elblogdelpetitcolon.com.ar,"Libertad 505, esquina Lavalle- Zona Tribunales-, Buenos Aires Argentina",,https://media-cdn.tripadvisor.com/media/photo-o/16/d3/74/26/20190314-174008-largejpg.jpg,"['$$ - $$$', 'Café', 'Argentina', 'Apto para vegetarianos']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d6563785-Reviews-Petit_Colon-Buenos_Aires_Capital_Federal_District.html,Apto para vegetarianos,"[{'days': 'dom - sáb', 'times': ['08:00 - 01:00']}]",213,232,60,16,13,4.0,4.0,3.5,5.0
3708642,Cocu Boulangerie,777,-34.59122,-58.42806,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",4.000463962554932,204.0,3.0,4.0,,$$ - $$$,+54 11 4831-4675,http://cocu.com.ar/,info@cocu.com.ar,"Malabia 1510 Esquina Gorriti, Buenos Aires C1414DMF Argentina",C1414DMF,https://media-cdn.tripadvisor.com/media/photo-o/09/79/5d/e3/boulangerie-cocu.jpg,"['$$ - $$$', 'Panaderías y confiterías\xa0', 'Francesa', 'Café']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d3708642-Reviews-Cocu_Boulangerie-Buenos_Aires_Capital_Federal_District.html,"Apto para vegetarianos, Opciones veganas","[{'days': 'lun - vie', 'times': ['09:00 - 20:00']}, {'days': 'sáb - dom', 'times': ['10:00 - 20:00']}]",213,226,65,33,20,4.5,4.0,4.0,4.0
806778,Café Tortoni,20040,-34.608727,-58.37817,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",3.983110427856445,220.0,13.0,4.0,,$$ - $$$,4342-4328,http://www.cafetortoni.com.ar,tortoni@cafetortoni.com.ar,"Avenida de Mayo 825, Buenos Aires 1084 Argentina",1084,https://media-cdn.tripadvisor.com/media/photo-o/05/ef/fe/7b/cafe-tortoni.jpg,"['$$ - $$$', 'Postres', 'Apto para vegetarianos']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d806778-Reviews-Cafe_Tortoni-Buenos_Aires_Capital_Federal_District.html,,"[{'days': 'dom', 'times': ['09:00 - 01:00']}, {'days': 'lun - vie', 'times': ['08:00 - 01:00']}, {'days': 'sáb', 'times': ['08:00 - 02:00']}]",4,2,835,214,105,4.0,4.0,3.5,4.5
2311012,Havanna Cafe,485,-34.589558,-58.409466,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",3.975816249847412,227.0,8.0,4.0,,$$ - $$$,+54 11 4821-6478,http://www.havanna.com.ar,,"Avenida Santa Fe 3148 Palermo, Buenos Aires C1425BGT Argentina",C1425BGT,https://media-cdn.tripadvisor.com/media/photo-o/15/74/a4/55/havanna-cafe.jpg,"['$$ - $$$', 'Café']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d2311012-Reviews-Havanna_Cafe-Buenos_Aires_Capital_Federal_District.html,,,59,97,38,11,11,4.0,4.0,3.5,4.0
946017,Las Violetas,1903,-34.61115,-58.420788,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",3.971121311187744,229.0,15.0,4.0,US$ 10 - US$ 15,$$ - $$$,+54 11 4958-7387,http://www.lasvioletas.com/,,"Av. Rivadavia 3899 Esquina Medrano, Buenos Aires C1204AAD Argentina",C1204AAD,https://media-cdn.tripadvisor.com/media/photo-o/13/94/44/44/the-salon.jpg,"['$$ - $$$', 'Postres', 'Café', 'Argentina']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d946017-Reviews-Las_Violetas-Buenos_Aires_Capital_Federal_District.html,"Apto para vegetarianos, Opciones sin gluten",,636,507,194,75,42,4.0,4.0,3.5,4.5
12607745,Cuervo Café,74,-34.59028,-58.42583,America/Argentina/Buenos_Aires,"Buenos Aires, Distrito Capital Federal",3.915917158126831,258.0,10.0,4.5,,$,,https://www.facebook.com/cuervocafedeespecialidad/,,"Calle El Salvador 4580 intersección Malabia- Barrio Palermo-, Buenos Aires C1414BPH Argentina",C1414BPH,https://media-cdn.tripadvisor.com/media/photo-o/16/1a/de/84/photo1jpg.jpg,"['$', 'Café', 'Apto para vegetarianos']",https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d12607745-Reviews-Cuervo_Cafe-Buenos_Aires_Capital_Federal_District.html,,,28,11,4,0,0,4.5,4.5,4.5,
