user_id,nick,user,locate,num_opinions,total_points,helpful_counts,critical_level
EE22C815B9937EC0FBB687C10B590769,marcelamN9209FM,Marcela M,,1,150,0,0
E4AB36841D4CDDA7A32AEF7A34C2C40C,Kathryn_Mzz,Kathryn M,"Santiago, Chile",60,0,13,5
665CA43E7EE0258B9E13E574141EDB21,charliecatalan,Chuck C,"Ciudad de Guatemala, Guatemala",19,0,66,3
665CA43E7EE0258B9E13E574141EDB21,charliecatalan,Chuck C,"Ciudad de Guatemala, Guatemala",19,0,66,3
F995C5EACA2B6E42E6441B4E8AAFD8F1,carolinapG3840LF,Carolina P,,2,301,1,1
A1664FF313971E424002734D161E6339,negrar2017,Negra R,"Buenos Aires, Argentina",1,101,1,0
27D578CEC2D5C62D155240BF26CDEA34,J9778MA_,Anton T,,2,281,1,0
BE9919C45345B39401941F588AB5D3AB,Q3132TRdanielag,Daniela G,,1,151,1,0
7278FE94AC529C98EA61DE21FB773395,MayraK26,Mayra K,"Santiago, Chile",3,401,1,1
EFC10396A97959248C01B08889BE9B6A,758mar_afernandaa,María Fernanda A,,1,101,1,0
6C034A4BDEE87AE0416916D0443627FE,Roving16309977833,Roving16309977833,,1,151,1,0
0B6D00B40DF0248C38ED76EA49FAF084,giselanoemic,Gisela Noemi C,,32,0,26,4
B7D530B312D050931841317B0E714916,BoardingPass520237,BoardingPass520237,"Montevideo, Uruguay",7,705,5,2
49643AAF9F62AFA76563DC4C83EBC8C3,X9247UYsabrinam,Sabrina M,"Buenos Aires, Argentina",1,151,1,0
F39BD2196071E12B370E1579D5C32C45,FellowTraveler616922,FellowTraveler616922,,2,253,3,0
A6606186AFD20FB2E685F4206FDD9853,atorrestramon,Alejandro T,,2,253,3,0
22F4BBC22560EC3B8A970B6465E32AAE,Moka1214,Moka1214,"Provincia de Buenos Aires, Argentina",203,0,189,6
7E9B7AE1399FE39191A4B3E923CBF39E,RomiGiarri,RomiGiarri,"Roma, Italia",3,302,3,1
B3DF3403C52739E96E8C46658265728D,Flyer756295,GSB,,3,300,0,1
EF9C91FD8656460C0C230E1D1F048852,930gimenam,Gimena M,"Buenos Aires, Argentina",3,300,0,1
B46F59F96AE600ACECDD246C0592AC90,Juliansantiagopessio,Julian P,"Buenos Aires, Argentina",1,100,0,0
76D08C678D18BF62820E7B7160B3BBBA,C8224FJmartinc,Martin C,,4,400,0,1
8D352EC04A86FC280CED6EECB76461C6,martinalupita,Martina B,"Rosario, Argentina",1,190,0,0
6B7080834E8DDDDB2AF58E520E74B3FC,Gaunet75,Gaunet75,"Abu Dabi, Emiratos Árabes Unidos",3,512,3,2
C9BC88A5DEA30AAD5A3AB979A754EC50,Inspire652164,Inspire652164,"Villa de Leyva, Colombia",2,200,0,0
606485B93B6CFD00580598F74A876B1A,manuela740,JCF,"Distrito Capital Federal, Argentina",23,0,17,3
4897FBE728DD104793F5296733F22406,angelafF2921BV,Angela F,,20,0,3,3
1BFCD55767B77EF041D3B05A9ED0F307,W3721XDivann,ivan n,,1,100,0,0
AF3F1EC423E89678F340002641FB4D94,anthonyjf26,Anthony F,,1,100,0,0
411E95180C73E58EC7C95B03A6D883A9,F4670HMvictorb,victor baroffi,,3,352,2,1
639EE7E1C193CCC1E9759695FEB71816,292tessaa,Tessa A,,1,101,1,0
AED5ADCECAB095FCB1D4A631F60B1E58,Lucia_B_Arg,Lucia B,"Buenos Aires, Argentina",1,0,0,6
FBC00906D8895069A09D808254762E44,lilianad393,Liliana D,"Distrito Capital Federal, Argentina",17,0,75,3
9E11568169A17FDCC6AA280569A08BB3,FernandoA1543,Fernando A,"Buenos Aires, Argentina",21,0,106,4
35080F222ACF8BBFDBF07DDD2ED2D09D,mas1261,MARIA ALEJANDRA,"Buenos Aires, Argentina",17,0,74,3
84223FB0058D77BAFA202E03F630B530,pincompalin,Sandy,"Buenos Aires, Argentina",14,0,71,3
69A4C6D46CEEA20A411F1AD410205740,jramund0,jorge g,"Buenos Aires, Argentina",796,0,623,6
77A5CA54BCFDF40D3933A0FA46CB6205,T3484VQvirginiab,Virginia B,"Buenos Aires, Argentina",5,511,19,2
C4DD00466DCA0D6B7DC9C37F3E7C17C4,silvanapvb,silvanapvb,"Guayaquil, Ecuador",10,0,51,3
0A7817918B2002B6D9D3C111A534ABF1,Alphapub,Alphapub,"La Plata, Argentina",95,0,103,5
2313CFC5AF064A21749D927914150772,Tupeorpesadilla2020,Tu Peor Pesadilla,"Campana, Argentina",1,103,5,0
F396F0EB7CF690F36D318A9B9A1022A7,Jimenez44Val,Valentina Jiménez,,2,236,10,0
B710FFCF8DD73D7846FB116C3868F808,Osvaldoernestole,Osvaldo Ernesto,"Buenos Aires, Argentina",79,0,57,5
8677921449C027CB653E1E8FC57BE275,F40Capri,F40Capri,"Buenos Aires, Argentina",201,0,95,6
A5B0EC6ABC7574A7BEFD0522468FF308,247juliab,Cortejuliana,"Buenos Aires, Argentina",7,0,27,3
82410A2DF843032ED6B92CCF3EF6DA92,aljuance,aljuance,"Buenos Aires, Argentina",37,0,100,5
82197B8F1F173042489D82938FC10F9D,TELMADOMINGUEZ,TELMADOMINGUEZ,"Buenos Aires, Argentina",15,0,65,3
97F2435950D71A1E5540F2EB9237ABEB,MarianitaMza,MarianitaMza,"Mendoza, Argentina",114,0,99,6
EEBE14272151CE944C31D248C0D26CF5,fox_cgb,fox_cgb,madrid,3,306,12,1
B14BBA7145C70067BAFF2BDAF4FA19AC,Alecafee,Ale 99,,1,102,4,0
237800C01A66F59B5E762C78499208EC,R5864FJclaudiav,Claudia V,"Buenos Aires, Argentina",63,0,88,6
9DA9FCA5C24E7A0C6C448380F8A796E3,Albert2C,Alberto C,,23,0,84,4
E3443ADB56699545AE60F29930A22B2F,lolasalasbosque,Lola,,2,207,11,0
26084861CB55B3332DB9DF8294AE7F2F,MariaPiaDuran,MariaPiaDuran,"Badalona, España",10,0,21,4
5D47FECC31B0B7BC403669924272C94A,364im,I M,"Berlín, Alemania",4,522,4,2
D8C5788F34A9DEA1C92681C068E432CE,Yoryi1212,Yoryi,"Córdoba, Argentina",9,920,38,2
85CC91EB2C098F77C52509EA344B2DB8,paoc1511,pao c,,22,0,87,4
273F7ED6E61AC7BE730269F8FA01DC74,meugear,Eugenia A,"Mendoza, Argentina",188,0,158,6
88842415AF03CA688C3A6B47D97B374D,arielfernvndez,Ariel Fernandez,"Buenos Aires, Argentina",7,838,18,2
6D289DF1A4C4122497C2DF0226159F76,Mariaquetglas,Maria Quetglas,,2,263,6,0
7CD340BD6EBD3C35A5AAA289D4A33138,julianm946,Julian M,,3,309,11,1
928C012C16214C1901761E381ADB672A,germanp902,German P,"Argentina central, Argentina",63,0,137,5
F0C79EABA6051AEBB3CA437769A0C7B5,fedexavierm,Federico Freire,"Montevideo, Uruguay",1,102,4,0
42FF93E097FE9D63BB938DCDAB0B7698,325elih,Eli H,,2,203,5,0
5BD9B68B8BE47AD77DCED3731D07AB08,JTierrez,Joaquin G,"Distrito Capital Federal, Argentina",25,0,89,4
88842415AF03CA688C3A6B47D97B374D,arielfernvndez,Ariel Fernandez,"Buenos Aires, Argentina",7,838,18,2
C213BA54AA0BA18DE013EA26194E6860,moramado17,moramado17,"Buenos Aires, Argentina",2,206,9,0
BE33BFA711A2E7FA24A15323D878590F,KalvinSein,KalvinSein,"Bogotá, Colombia",7,951,18,2
E624E040B8B83B4FEAF824649853639C,francoces,franco c,,9,0,14,3
F438C3547E079C6EFE8A605C70858C9A,Lvegal,Lvegal,,5,836,11,2
F6B6F61A0AFE0E0C8065F1441D112869,lgalarza,lgalarza,"Madrid, España",67,0,72,5
1640B3AFFCDBDEB72429C0D5C4C3044A,emilybY7219YP,Emily B,"Buffalo, Estado de Nueva York",35,0,21,4
031CB1D233AD62A9344CDA3C6743BAA5,viciosillo,Pedro B,"Salta, Argentina",1,161,2,0
6B772B2302D57E59AB889E4CCB2CA0B8,mabecerrav,Mabecerrav,"Buenos Aires, Argentina",1,131,2,0
09671998A8A4E326A8352BA4DFC8FCCA,Igonearanbarri,Igone,,4,403,5,1
0A666A8B4926245CCCB6BE63154CD5F8,vanetafloyd2015,vanetafloyd2015,"Distrito Capital Federal, Argentina",157,0,127,6
8B07907D343660C55AAE8218C06CB4A6,X8823MRcarlosl,Carlos L,"Distrito Capital Federal, Argentina",23,0,25,3
C15D8EA3953A61C279227975748C37C7,LeanF87,Lean F,"Buenos Aires, Argentina",28,0,14,4
C58BEDC5ED12FEBD30264D6C10C09808,LucasDiGiorno,Lucas DiGiorno,"Buenos Aires, Argentina",1,166,1,0
297139E0A1637A949523F80A7EC635F5,patrif2005,Patricia F,"Buenos Aires, Argentina",34,0,87,4
5241F4DEF865122B40EB76C584D6F016,martingrillo9,Grillen,"Buenos Aires, Argentina",42,0,61,5
DC031B9318C4DE0E92A9F17E51781FC3,907saram,Sara M,"Buenos Aires, Argentina",77,0,62,5
9B144DCD95E051AAC0F2A46B50C570E8,FelixG6,Felix G,"Madrid, España",79,0,112,5
A7364F5D26C0AAC0EAF4496BA7B0968F,F1644TNmariac,maria c,"Buenos Aires, Argentina",12,0,6,3
BE93B059E0536AA5F6A5703DDEBE6D8A,Dahidom,Dahidom,,17,0,24,4
01B5AFF72D51877C696460ACCADE57C3,A5682WOdiegoa,Diego A,,1,101,1,0
1A8F2F12E2E955A2598DB8EF6774480C,LuischinoFernandez,luis carlos f,"Buenos Aires, Argentina",36,0,7,4
D669875BA79AB3B3826FC04CBA9B15F4,santiagoa649,santiago a,"Buenos Aires, Argentina",73,0,44,5
B5F4204F318B3C2FF23016B741B59A53,ingrida328,Ingrid A,"Bogotá, Colombia",20,0,8,4
54CB85055DB5387C602584ABE83C9889,interbrokers,interbrokers,Buenos Aires,44,0,11,4
FB429D17D46033015C69646DEA423D4A,danielsT185QB,Daniel S,,31,0,8,4
D94A994F7D4ECD8D91B671C89754E5E8,970vivianap,Viviana P,"Distrito Capital Federal, Argentina",25,0,5,4
61F7BDE382EBBE469C1C5D5DEBFF2A97,F2921PZmanuelb,Manuel B,,10,0,3,3
F8BEAFDD9E2FDDAED8A60DDC51DA308B,796sebastiani,Sebastian I,"Turdera, Argentina",9,0,5,3
E9A49F25F1E3A7573E98CCBEAFA0B70B,jadelrio,jadelrio,"Ciudad de México, México",45,0,53,4
9BA0926F5E3A4B4F0B02F064A664FDF5,DRecheni,David R,"Berlín, Alemania",1,161,1,0
7FD661F3628E85635CAF6C7211A62BBA,FernandoC5908,Fernando C,"Buenos Aires, Argentina",26,0,36,4
48377E22C24292ABBD9ACDD78463B67A,mariadalma,mariadalma,"Buenos Aires, Argentina",1,101,1,0
088722E4184C999EA51E40B4768F32C9,arajimenez997,arajimenez997,"Buenos Aires, Argentina",1,101,1,0
C7F44738AAA0670AE9638FAF0045171E,datzicas,Danae Alexia T,"Buenos Aires, Argentina",34,0,16,5
CF89A6E54CA044AFB2D3025ABE7A0F79,geraldsJ4624ZX,gerald S,"Martínez, Argentina",147,0,186,6
FFB382710954E2C1843D2DF0D3FE9331,Rojas01,Rojas01,,4,404,4,1
0FECDD365FD3416DA2A08D091BDE4A83,U4999XKleonardoc,Leonardo Cotler,"Buenos Aires, Argentina",5,502,2,2
00C48F5B59A56890FE56E9335D991E44,Gvilella,Gvilella,"Buenos Aires, Argentina",20,0,7,3
623E97227C8CCC790D137B516EF09220,lilianapontoriero,Liliana,"Distrito Capital Federal, Argentina",8,805,5,2
13DBACA16B694BD0F4DC149AE7D1B41E,vivianap694,Viviana P,"Distrito Capital Federal, Argentina",18,0,10,3
A0C2C8DD2322839DDEEAA9237D5A2BE8,S7426BBpabloc,Pablo C,"Mendoza, Argentina",2,202,2,0
C350850D959579551AC221E9CF135F1A,D6502MUsergiof,Sergio F,"Buenos Aires, Argentina",5,507,2,2
3A420BC34B80394DF361A5B3845EC358,jprandi,jprandi,"Buenos Aires, Argentina",2,201,1,0
D7732B3EF3F0209366C6DB2783783803,magdalenamiguens,magdalenamiguens,"Buenos Aires, Argentina",4,705,6,2
9513661752825E7278F7008BE08A6D80,406alberton,Alberto N,,4,401,1,1
910E4DB1D0E294F1BF554FBFC6B17694,lacleli,lacleli,"Buenos Aires, Argentina",182,0,279,6
78E7BDB5BEED050DFF2F9F76238E8F5C,jorgef271,Jorge F,,30,0,55,4
3A68E4FC238EC6FF348D430419C91A87,douglas03091970,douglas03091970,"Provincia de Buenos Aires, Argentina",5,506,1,2
0BBE774BEB9BA481AEE1ECD1AE868A56,marcelop691,Marcelo P,,1,101,1,0
53BEB3A38F3370451FA0CA4C78F23F1F,Candelab481,Candelab481,,10,0,6,3
43E0AD7558342634F639132E6A037B82,EzequielK432,Ezequiel K,"Buenos Aires, Argentina",3,399,4,1
712A46335F45B47CC01DF56E42877789,Vickypietro,Vickypietro,"Distrito Capital Federal, Argentina",31,0,14,4
7B57480DB0B7DD7B11CDEA239CA26A1C,nazarenov888,Nazareno V,,1,130,0,0
232FCDC448D82D53E250DC9161518F4C,517teoc,teo c,,11,0,4,3
8B394538EA2EEC5AE4F972CB11EB5180,danivalentinah,Daniela V,"Santiago, Chile",3,393,3,1
3B1587990E66FC113B228039FA0C6535,VHMeda,VHMeda,"Buenos Aires, Argentina",20,0,11,3
87F0727D9B4D34C397E0E35C392DBAD8,sebav1978,sebav1978,Buenos Aires,473,0,169,6
E661E89654E09B92496086C7469B4B83,mdqcarlos,mdqcarlos,"Buenos Aires, Argentina",658,0,516,6
CF40A165B48E8D9B7C87F64E66CD3A09,laus457,Lau S,,18,0,6,3
0CEA43EE21E291FF27424001ED084422,N262FUjuliom,Julio M,"Distrito Capital Federal, Argentina",64,0,102,5
0B0E9717A2F5B0208B8CA9C651133334,CarlosAlbertoL1,Carlos Alberto L,"Buenos Aires, Argentina",677,0,708,6
0EB3A7B4F3B6637A015293469CD07135,hetys2014,hety,Argentina,3,300,0,1
26069EBDBD3D32ABEF013948FB70AFE9,saramH4763GZ,Sara M,"Buenos Aires, Argentina",15,0,4,3
8DB570793EB78EE47B56531D8FE2E0B0,lbzambrini,lbzambrini,"Buenos Aires, Argentina",16,0,6,3
5C5F75C7E0FE6B656BB83863E0DBC1C1,Q3937VQdiegop,Diego P,"Ezeiza, Argentina",1,100,0,0
1F1883AEFBE4C9B8247152871BCAB463,El_chavo22,El_chavo22,"Buenos Aires, Argentina",77,0,97,6
5042E936907AFEC156D1F310C9DBBA49,223juancarlosd,juan carlos d,,11,0,8,3
B734052DA285B0D45970CB3EFEAD5771,180alexish,Alexis H,,14,0,2,3
59955872DB9029720A1C895992079BE2,estelafabbio,estelafabbio,Buenos Aires,5,501,1,2
2257C9CFAEF13181A7112A279462B731,905juancarlosg,Juan Carlos G,,18,0,90,3
C67087BA0F9AEEF75D7024615D37C4CA,Z374SAelizabethv,Elizabeth V,,9,925,17,2
EC37AB5EE1ECEAFB04DAF670C82C1167,SilvinaBru,SilvinaBru,"Buenos Aires, Argentina",15,0,4,3
993AFDCB5C052128F8C82624CA43A6E9,susanab404,Susana B,"Buenos Aires, Argentina",2,212,7,0
572232680C7FC6FAE513CF3252FC16A6,mrwasenstein,Martín,"Buenos Aires, Argentina",15,0,10,3
6D0B8FE03A39571E18A9A88B04C86C08,juanaL2566EQ,juan a,,63,0,39,5
B3EBE912FFF9EF671DDFD2DE7DF0221F,Cruz_Bruni,Cruz_Bruni,"Buenos Aires, Argentina",11,0,25,3
C6461E74F0211E7D3EDC0635D87A8D8D,377elianae,Eliana E,,1,100,0,0
F1F6E683A6F93470FDDDBC6B47082A81,cristiancostana,Cristian cost,"Castelar, Argentina",17,0,5,3
10AA7C863C6F326E8BC6A3E0B24B2894,cecidezen,Ceci De Zen,"Bahía Blanca, Argentina",268,0,87,6
BC1160F2672DFCAD795D4A0F56A8008B,marianodapia,marianodapia,"Buenos Aires, Argentina",66,0,23,5
748CD502889764ED85854D83A58FDA66,jhonnyp256,Jhonny P,,1,100,0,0
630278B06DB919EB9C169B504981C514,d0ble0nadae,d0ble0nadae,"Buenos Aires, Argentina",79,0,38,5
DA60855973A56E4B74F9B51539D08896,cesarmE5114UL,Cesar M,"Morón, Argentina",72,0,99,5
D475BD9167ED33C83A98C0B5FF0A85DE,estefidt98,estefidt98,"Montevideo, Uruguay",1,100,0,0
69A4C6D46CEEA20A411F1AD410205740,jramund0,jorge g,"Buenos Aires, Argentina",796,0,623,6
